Ind_ID,Pop,Allele_1,Allele_2
Ind_145,Mainland,100,102
Ind_146,Mainland,100,100
Ind_147,Mainland,100,100
Ind_148,Mainland,100,102
Ind_149,Mainland,100,100
Ind_150,Mainland,100,102
Ind_151,Mainland,100,100
Ind_152,Mainland,102,102
Ind_153,Mainland,100,100
Ind_154,Mainland,100,102
Ind_155,Mainland,100,102
Ind_156,Mainland,100,100
Ind_157,Mainland,102,102
Ind_158,Island,100,100
Ind_159,Island,100,102
Ind_160,Island,100,100
Ind_161,Island,100,100
Ind_162,Island,100,100
Ind_163,Island,100,102
Ind_164,Island,100,100
Ind_165,Island,100,100
Ind_166,Island,100,100
Ind_167,Island,100,102
Ind_168,Island,100,100
Ind_169,Island,100,100
Ind_170,Island,100,100
Ind_171,Island,100,102
Ind_172,Island,100,100
Ind_173,Island,100,100
Ind_174,Island,100,100
Ind_175,Island,100,100
Ind_176,Island,100,100
Ind_177,Island,100,100
Ind_178,Island,100,102
Ind_179,Island,100,100
Ind_180,Island,100,100
Ind_181,Island,100,100
Ind_182,Island,100,100
Ind_183,Island,100,100
Ind_184,Island,100,100
Ind_185,Island,100,102
Ind_186,Island,100,100
Ind_187,Island,100,100
Ind_188,Island,100,102
Ind_189,Island,100,100
Ind_190,Island,100,100
Ind_191,Island,100,100
Ind_192,Island,100,102
Ind_193,Island,100,100
Ind_194,Island,100,100
Ind_195,Island,100,102
Ind_196,Island,100,100
Ind_197,Island,100,100
Ind_198,Island,100,100
Ind_199,Island,100,100
Ind_200,Island,100,100
Ind_201,Island,100,100
Ind_202,Island,100,102
Ind_203,Island,100,100
Ind_204,Island,100,100
Ind_205,Island,100,100
Ind_206,Island,100,100
Ind_207,Island,100,100
Ind_208,Island,100,100
Ind_209,Island,100,100
Ind_210,Island,100,100
Ind_211,Island,100,100
Ind_212,Island,100,100
Ind_213,Island,100,100
Ind_214,Island,100,100
Ind_215,Island,100,102
Ind_216,Island,100,100
Ind_217,Island,100,100
Ind_218,Island,100,100
Ind_219,Island,100,100
Ind_220,Island,100,100
Ind_221,Island,100,100
Ind_222,Island,100,100
Ind_223,Island,100,100
Ind_224,Island,100,100
Ind_225,Island,100,102
Ind_226,Island,100,100
Ind_227,Island,100,102
Ind_228,Island,100,100
Ind_229,Island,100,100
Ind_230,Island,100,100
Ind_231,Island,100,100
Ind_232,Island,100,100
Ind_233,Island,100,100
Ind_234,Island,100,100
Ind_235,Island,100,100
Ind_236,Island,100,100
Ind_237,Island,100,102
Ind_238,Island,100,102
Ind_239,Island,100,100
Ind_240,Island,100,100
Ind_241,Island,100,102
Ind_242,Island,100,102
Ind_243,Island,100,102
Ind_244,Island,100,100
Ind_245,Island,100,100
Ind_246,Island,100,100
Ind_247,Island,100,102
Ind_248,Island,100,100
Ind_249,Island,100,100
Ind_250,Island,100,100
